base_comm,size_base,n_pieces_ge5pct,top_seeded_comm,top_frac,frac_of_target_seeded,size_top_seeded,classification
85,7,1,79,1.0,1.0,7,identical
86,7,1,78,1.0,1.0,7,identical
87,7,1,73,1.0,1.0,7,identical
88,7,1,81,1.0,1.0,7,identical
89,7,1,83,1.0,1.0,7,identical
90,7,1,76,1.0,1.0,7,identical
91,7,1,82,1.0,1.0,7,identical
92,7,1,77,1.0,1.0,7,identical
93,7,1,13,1.0,0.009320905459387484,751,merged_into
94,6,1,89,1.0,1.0,6,identical
95,6,1,92,1.0,1.0,6,identical
96,6,1,93,1.0,1.0,6,identical
97,6,1,90,1.0,1.0,6,identical
98,6,1,91,1.0,1.0,6,identical
99,6,1,86,1.0,1.0,6,identical
100,6,1,19,1.0,0.01639344262295082,366,merged_into
101,6,1,87,1.0,1.0,6,identical
102,6,1,15,1.0,0.011111111111111112,540,merged_into
103,5,1,99,1.0,1.0,5,identical
104,5,1,104,1.0,1.0,5,identical
105,5,1,6,1.0,0.002474022761009401,2021,merged_into
106,5,1,103,1.0,1.0,5,identical
107,5,1,98,1.0,1.0,5,identical
108,5,1,102,1.0,1.0,5,identical
109,5,1,97,1.0,1.0,5,identical
110,5,1,26,1.0,0.024875621890547265,201,merged_into
111,5,1,107,1.0,1.0,5,identical
112,5,1,95,1.0,1.0,5,identical
113,5,1,100,1.0,1.0,5,identical
114,5,1,105,1.0,1.0,5,identical
115,5,1,101,1.0,1.0,5,identical
116,5,1,13,1.0,0.006657789613848202,751,merged_into
117,5,1,13,1.0,0.006657789613848202,751,merged_into
118,4,1,123,1.0,1.0,4,identical
119,4,1,15,1.0,0.007407407407407408,540,merged_into
120,4,1,113,1.0,1.0,4,identical
121,4,1,109,1.0,1.0,4,identical
122,4,1,111,1.0,1.0,4,identical
123,4,1,4,1.0,0.001563721657544957,2558,merged_into
124,4,1,135,1.0,1.0,4,identical
125,4,1,19,1.0,0.01092896174863388,366,merged_into
126,4,1,127,1.0,1.0,4,identical
127,4,1,131,1.0,1.0,4,identical
128,4,1,122,1.0,1.0,4,identical
129,4,1,136,1.0,1.0,4,identical
130,4,1,15,1.0,0.007407407407407408,540,merged_into
131,4,1,116,1.0,1.0,4,identical
132,4,1,124,1.0,1.0,4,identical
133,4,1,120,1.0,1.0,4,identical
134,4,1,13,1.0,0.005326231691078562,751,merged_into
135,4,1,13,1.0,0.005326231691078562,751,merged_into
136,4,1,130,1.0,1.0,4,identical
137,4,1,117,1.0,1.0,4,identical
138,4,1,118,1.0,1.0,4,identical
139,4,1,132,1.0,1.0,4,identical
140,4,1,112,1.0,1.0,4,identical
141,4,1,108,1.0,1.0,4,identical
142,4,1,129,1.0,1.0,4,identical
143,4,1,119,1.0,1.0,4,identical
144,4,1,125,1.0,1.0,4,identical
145,4,1,13,1.0,0.005326231691078562,751,merged_into
146,3,1,0,1.0,0.0008728542333430317,3437,merged_into
147,3,1,0,1.0,0.0008728542333430317,3437,merged_into
148,3,1,0,1.0,0.0008728542333430317,3437,merged_into
149,3,1,14,1.0,0.004830917874396135,621,merged_into
