network,chain,chain_seed,spe,spe_nom,accepted,proposals,acc_rate_cum,acc_rate_interval,M_inter,M_total,final,stalled,n,m,n_comms,Q,p_intra,sd_s,mu_s,delta,mu_intra,mu_inter,r_pb,auc_s,auc_prod,hb,deg_R2,hub_inter_frac,nonhub_inter_frac,hub_inter_lift,assort_deg,transitivity,avg_local_cc,tri_intra,tri_inter,tri_frac_intra_ge1,tri_frac_inter_ge1,comm_size_mean,comm_size_max_frac,comm_size_gini,seconds
ca-GrQc,up,1,1.0,1.0,13422,27524,0.48764714431042,0.3809388658681955,5400180,5616343,0,0,4158,13422,42,0.015048838389661803,0.05960363582178513,0.3066693922930899,0.3097898971837282,0.21076936443289962,0.5079966411765802,0.29722727674368055,0.1627154907191569,0.6886200186182855,0.30612719854222786,1.5833928816428722,0.20120241734161926,0.9761029411764706,0.911669803710675,1.0379697097504823,0.3359150079928488,0.02712805865241599,0.0063516181087783915,0.39625,0.46474409760735225,0.13875,0.25043574710822375,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,1,1.5,1.5,20133,58216,0.3458327607530576,0.21865632738172813,6402657,6413517,0,0,4158,13422,42,-0.03188902481999398,0.012665772612129339,0.3305175143292902,0.3097898971837282,0.4138396667220652,0.7183879647892123,0.3045482980671471,0.1400185505197309,0.8242695886081568,0.17863385770849238,7.563066264989919,0.20120241734161926,0.9987020211385129,0.9796985926018185,1.0115136226774162,0.5456461916656806,0.04443683940347228,0.006348112171592081,0.16470588235294117,0.762149109568367,0.03529411764705882,0.3007093268940537,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,1,2.0,2.0,26844,114531,0.2343819577232365,0.11916896031252774,6963867,6964569,0,0,4158,13422,42,-0.04217065199925192,0.0023841454328714052,0.3483650304767137,0.3097898971837282,0.7369210340630241,1.0449540043290042,0.30803297026598003,0.1031654894103219,0.8875210044809559,0.11390496639283047,23.70733612914345,0.20120241734161926,1.0,0.9962406015037594,1.0023898431665421,0.6906243121579211,0.05886301712450476,0.007431824944961887,0.0,1.0019417475728156,0.0,0.3278566094100075,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,1,2.5,2.5,33555,229355,0.14630158487933553,0.058445969483731625,7284912,7284930,0,0,4158,13422,42,-0.04418227470823717,0.00037252272388615704,0.35888478856028544,0.3097898971837282,1.2073265260490422,1.5166666666666666,0.30934014061762444,0.0649180056140611,0.9578072594469703,0.04214802116717597,150.8225882586768,0.20120241734161926,1.0,0.9994379496402878,1.0003726615487814,0.7749091630594959,0.07102523264844089,0.008973955076051,0.0,1.20652903033465,0.0,0.3532831482447641,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,1,3.0,3.0,40266,536515,0.07505102373652181,0.021848547988019273,7464783,7464783,0,0,4158,13422,42,-0.04455479743212332,0.0,0.3669227149942966,0.3097898971837282,nan,nan,nan,nan,nan,nan,nan,0.20120241734161926,1.0,1.0,nan,0.8222272925733911,0.07973885459307913,0.013370994566130402,nan,nan,nan,nan,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,1,3.2291,3.2291,43341,950000,0.045622105263157894,0.0074367873078829945,7513729,7513729,1,1,4158,13422,42,-0.04455479743212332,0.0,0.36953369060671687,0.3097898971837282,nan,nan,nan,nan,nan,nan,nan,0.20120241734161926,1.0,1.0,nan,0.8351046600189556,0.08655706632619484,0.017564630243394067,nan,nan,nan,nan,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,2,0.0,0.0,0,0,,,356268,6769056,0,0,4158,13422,42,0.8513623535140842,0.8959171509462077,0.28700993739820324,0.3097898971837282,0.08723506953795679,0.3188695717586444,0.2316345022206876,0.09281489735988588,0.5235911226462407,0.4671170327863241,0.47820995409767336,0.20120241734161926,0.1005940594059406,0.10618729096989966,0.9664806480648065,0.639186140675376,0.6288944756689877,0.5568782161697932,11.728316008316009,1.6492483894058698,0.9212474012474012,0.7816750178954903,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,2,0.01,0.01,134,146,0.9178082191780822,0.9178082191780822,445828,6713121,0,0,4158,13422,42,0.8331087400436625,0.8776635374757861,0.2867885007235806,0.3097898971837282,0.07836019415476336,0.31937620613933254,0.24101601198456918,0.08953147861918767,0.520353455246304,0.46573694757108086,0.5103398475938173,0.20120241734161926,0.12745869394177814,0.11921324058527225,1.0418700305033781,0.6244700137586177,0.5886959840996144,0.5267390395824253,11.199660441426145,1.3660170523751523,0.9138370118845501,0.6516443361753959,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,2,0.02,0.02,268,295,0.9084745762711864,0.8993288590604027,519933,6665313,0,0,4158,13422,42,0.8156001720210131,0.8601549694531366,0.28622815472835766,0.3097898971837282,0.066688555060199,0.3191159602032479,0.2524274051430489,0.08080734305169437,0.512645082721638,0.46942761559605656,0.5203892359935491,0.20120241734161926,0.1537261022239563,0.13126808100289297,1.0992603857485037,0.611892046553176,0.553788846037408,0.4940431898332973,10.74291901255955,1.1678209909429942,0.9067128627111304,0.5700586041555674,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,2,0.05,0.05,671,742,0.9043126684636119,0.901565995525727,733453,6527768,0,0,4158,13422,42,0.7636705043112828,0.8082253017434063,0.28528734871517225,0.3097898971837282,0.04949084127624642,0.31928098833594537,0.26979014705969895,0.06829740431790969,0.502599815376364,0.4746025033635653,0.5334716217614368,0.20120241734161926,0.2200114788597666,0.17376449054301404,1.1472393431452166,0.5757048707819145,0.462835481026154,0.4155217207005879,9.535490412979351,0.7956487956487956,0.8874446902654868,0.40675990675990675,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,2,0.1,0.1,1342,1551,0.8652482269503546,0.8294190358467244,1094866,6309821,0,0,4158,13422,42,0.6811939732428877,0.7257487706750112,0.28376157903937577,0.3097898971837282,0.034513607643611055,0.3192552965084289,0.2847416888648178,0.05426305132542363,0.49409887228358745,0.4801289837098705,0.5555819529517672,0.20120241734161926,0.3215213358070501,0.24252988047808766,1.1723606001636042,0.5183644629312538,0.3369223276690403,0.30544041736621746,7.691818088491941,0.5066558000543331,0.8482701981316086,0.28198859005704974,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,2,0.15,0.15,2013,2410,0.8352697095435685,0.7811408614668219,1460758,6122121,0,0,4158,13422,42,0.6062424011969928,0.6507971986291163,0.2826023428971527,0.3097898971837282,0.030814609662379422,0.3205504452009814,0.289735835538602,0.05198075817422216,0.49516422984374203,0.47810381514154104,0.5840275101046988,0.20120241734161926,0.4105852601156069,0.3061120973877758,1.1757788268128175,0.46898183984596686,0.2438892764534769,0.2237839754399493,6.141499713795077,0.41412417324514617,0.8034344590726961,0.24109238318754,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,2,0.2,0.2,2684,3316,0.8094089264173703,0.7406181015452539,1800976,5956284,0,0,4158,13422,42,0.535761101837732,0.5803158992698555,0.2817958428647739,0.3097898971837282,0.03344576238433267,0.32382655189323095,0.2903807895088983,0.058573342935232885,0.49938421126153115,0.47412956821375934,0.5993032845331566,0.20120241734161926,0.48851590106007065,0.36949239886627155,1.1640085964900175,0.42535122682202053,0.1738249114817106,0.16287475817845798,4.831557324431891,0.35238771524942303,0.7531133650019258,0.21516066039410617,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,2,0.3,0.3,4027,5223,0.7710128278766992,0.7042475091767174,2393550,5701566,0,0,4158,13422,42,0.413052116589632,0.45760691402175535,0.28122812142235903,0.3097898971837282,0.038085668475337286,0.33044730043961074,0.29236163196427345,0.06746929903023804,0.5053961688750845,0.47007558747016576,0.6104545505008654,0.20120241734161926,0.6153715354531543,0.4854793793926535,1.1345490039632193,0.3583366131457385,0.09312518921195688,0.08256615382872202,3.0822207749918595,0.3151098901098901,0.6392054705307717,0.1940934065934066,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,2,0.4,0.4,5369,7402,0.7253445014860849,0.6158788435061955,2985781,5473147,0,0,4158,13422,42,0.3122474675060379,0.35680226493816125,0.28200399261623044,0.3097898971837282,0.05133390248038233,0.3428077469909954,0.2914738445106131,0.087203733421554,0.5241253648069947,0.45292661565607134,0.665888251552163,0.20120241734161926,0.7204907161803713,0.5801082543978349,1.1201698589798383,0.2982410916618912,0.049715030339725956,0.04748396607840641,1.787220714136563,0.3210934785126839,0.5214032157026519,0.19993049924707518,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,2,0.5,0.5,6711,9820,0.6834012219959267,0.555004135649297,3501425,5359126,0,0,4158,13422,42,0.22783381827343477,0.27238861570555806,0.28421765683841527,0.3097898971837282,0.06339791778326626,0.3559189439033958,0.29252102612012953,0.09930432383778723,0.5390227185954396,0.4412113673303216,0.7055998511319727,0.20120241734161926,0.7963053784534903,0.6700889801505818,1.0944102795005883,0.26824292401773836,0.03185342161030892,0.027370076272415358,1.0943654266958425,0.3337087855826336,0.41466083150984684,0.20233463035019456,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,2,1.0,1.0,13422,27297,0.49170238487745904,0.3839903873662528,5384461,5626925,0,0,4158,13422,42,0.01720947018820152,0.06176426762032484,0.30467799660698447,0.3097898971837282,0.21041989062227717,0.5072133573689716,0.2967934667466944,0.1662533219225478,0.6835905159940561,0.3105144288615739,1.4619088570582182,0.20120241734161926,0.9749031497389253,0.9091516366065464,1.0390812416259712,0.3386990618952915,0.027509773208903163,0.007692144702543351,0.4390832328106152,0.46899070912411656,0.14957780458383596,0.2502977844834432,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,2,1.5,1.5,20133,58867,0.3420082558988907,0.2125752296484004,6384926,6402511,0,0,4158,13422,42,-0.03285758390209798,0.011697213530025332,0.32982583781332814,0.3097898971837282,0.42547071168283773,0.73028378710124,0.30481307541840225,0.1386983243612552,0.8111939133921219,0.19188156179400317,4.2974011298950625,0.20120241734161926,0.997585886722377,0.9820828667413214,1.0093929718498111,0.5427505861799231,0.04383136114145815,0.006162852233465815,0.21019108280254778,0.7506219374293253,0.050955414012738856,0.29807764794572184,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,2,2.0,2.0,26844,114810,0.23381238568068982,0.11996138927122249,6958439,6959713,0,0,4158,13422,42,-0.04217065199925192,0.0023841454328714052,0.34728806128544154,0.3097898971837282,0.6624770421862947,0.9706874977555123,0.3082104555692176,0.09303128548074745,0.8589747479462285,0.14099141150112024,13.053043872802755,0.20120241734161926,0.9997959600081616,0.9963619293510151,1.0021853155511236,0.68934673081694,0.05983704737209272,0.00793991462662605,0.0,1.0185212845407021,0.0,0.3259148618371919,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,2,2.5,2.5,33555,227059,0.1477809732272229,0.05978672415789896,7279315,7279326,0,0,4158,13422,42,-0.044033265618682704,0.0005215318134406199,0.35862431589252,0.3097898971837282,1.4052286885682337,1.7142857142857142,0.30905702571748045,0.08946113397426955,0.985453383738885,0.014546616261114956,345.30684782976994,0.20120241734161926,1.0,0.999214013024927,1.0005218039508013,0.773434787887573,0.07277585457991655,0.008812893576152437,0.0,1.2364517331345508,0.0,0.35199403652627653,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,2,3.0,3.0,40266,527645,0.0763126723459902,0.02232638911991909,7456015,7456015,0,0,4158,13422,42,-0.04455479743212332,0.0,0.3663555103466455,0.3097898971837282,nan,nan,nan,nan,nan,nan,nan,0.20120241734161926,1.0,1.0,nan,0.819920490020318,0.08122622510628776,0.012603260384093241,nan,nan,nan,nan,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,2,3.2441,3.2441,43542,950000,0.04583368421052632,0.007756508150726284,7511512,7511512,1,1,4158,13422,42,-0.04455479743212332,0.0,0.36928766292953774,0.3097898971837282,nan,nan,nan,nan,nan,nan,nan,0.20120241734161926,1.0,1.0,nan,0.8345213820467653,0.08891316651968462,0.017762106788535882,nan,nan,nan,nan,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,down,1,0.0,0.0,0,0,,,356268,6769056,0,0,4158,13422,42,0.8513623535140842,0.8959171509462077,0.28700993739820324,0.3097898971837282,0.08723506953795679,0.3188695717586444,0.2316345022206876,0.09281489735988588,0.5235911226462407,0.4671170327863241,0.47820995409767336,0.20120241734161926,0.1005940594059406,0.10618729096989966,0.9664806480648065,0.639186140675376,0.6288944756689877,0.5568782161697932,11.728316008316009,1.6492483894058698,0.9212474012474012,0.7816750178954903,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,down,1,0.01,0.01,134,2564,0.05226209048361934,0.05226209048361934,326373,6736343,0,0,4158,13422,42,0.8433158626781432,0.8878706601102667,0.285154016262567,0.3097898971837282,0.05292319148189317,0.31572413970945085,0.2628009482275577,0.058559993301108136,0.4870155619557978,0.4967188613825917,0.40317042454892105,0.20120241734161926,0.1039447731755424,0.11709770114942529,0.9270078043602193,0.6305795676919503,0.622379003066879,0.525467693046002,11.759503230678861,1.1388704318936878,0.91516321221784,0.6159468438538206,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,down,1,0.02,0.02,268,5622,0.04766986837424404,0.04381948986265533,302453,6713678,0,0,4158,13422,42,0.8366104536481923,0.8811652510803158,0.28344789413506793,0.3097898971837282,0.02176800111761712,0.31237669213102365,0.29060869101340653,0.02485110612152775,0.455560002576327,0.5232172121968409,0.34980884572416343,0.20120241734161926,0.10419539097892457,0.12774116237267824,0.876809114557445,0.6246165567583967,0.6173377384070656,0.49575911612943896,11.788365604126152,0.8037617554858935,0.9078379978016403,0.48589341692789967,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,down,1,0.05,0.05,671,14776,0.04541147807255008,0.044024470176971815,248243,6660010,0,0,4158,13422,42,0.8147806220284636,0.8593354194605871,0.27938578933003777,0.3097898971837282,-0.052387003435466095,0.30242090131976157,0.35480790475522767,-0.06519180097311641,0.37765670875789487,0.5933027454937944,0.236525100772546,0.20120241734161926,0.10512870898015327,0.1623664946597864,0.7473715741163227,0.6104968624816721,0.606807681676385,0.4196445215300667,11.943384775446505,0.2902542372881356,0.8892838564244842,0.22033898305084745,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,down,1,0.1,0.1,1342,34133,0.03931679020302933,0.0346644624683577,189859,6610854,0,0,4158,13422,42,0.7866179041026701,0.8311727015347936,0.2734474812456645,0.3097898971837282,-0.14180263968913048,0.28584974060977725,0.42765238029890773,-0.19425730490098653,0.292318426759774,0.6764497599160996,0.14557186882030496,0.20120241734161926,0.10348882791062329,0.20889423076923078,0.6129863407839301,0.597564245431164,0.5966593395021916,0.3340544807917958,12.17551093581929,0.0706090026478376,0.8603442093940481,0.05913503971756399,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,down,1,0.15,0.15,2013,58865,0.03419689119170984,0.02713084263302604,149668,6590146,0,0,4158,13422,42,0.7685132997218028,0.8130680971539264,0.26885787353519,0.3097898971837282,-0.20395628579055997,0.27166396058348125,0.4756202463740412,-0.29574642865747275,0.23388425146061734,0.7364860094788607,0.10107746656089003,0.20120241734161926,0.09549019607843137,0.24297043979812544,0.510828781093944,0.5921161081970132,0.5914469614205047,0.28611470076027584,12.346559149638047,0.025508170585890794,0.844589022267021,0.023116779593463532,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,down,1,0.2,0.2,2684,87556,0.030654666727580063,0.023387124882367293,125347,6582459,0,0,4158,13422,42,0.7558475271096735,0.800402324541797,0.2644843351670795,0.3097898971837282,-0.2530898506073553,0.25927375132043623,0.5123636019277915,-0.38247819823609597,0.18945244413256657,0.7832113357875647,0.07784459920049377,0.20120241734161926,0.08869701726844584,0.267475378332933,0.4443790092486301,0.5900937095627212,0.5878140918484198,0.2541038717049939,12.468491110490552,0.00933184023889511,0.8341245462161407,0.00933184023889511,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,down,1,0.3,0.3,4027,169371,0.023776207260983284,0.016415082808775898,92526,6606239,0,0,4158,13422,42,0.7491421180797226,0.7936969155118462,0.26159560299921597,0.3097898971837282,-0.3259856635239621,0.2425380492998174,0.5685237128237794,-0.5042527410929174,0.12908842067658668,0.8500038832934546,0.05464924162654519,0.20120241734161926,0.07081038552321008,0.28891820580474936,0.3432347397950615,0.5963500695891898,0.5841548971345083,0.21540832605702653,12.49685534591195,0.0039725532683279165,0.8119778466159767,0.0039725532683279165,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,down,1,0.4,0.4,5369,286781,0.01872160289558932,0.011430031513499701,69691,6643660,0,0,4158,13422,42,0.7597962679828668,0.8043510654149904,0.2631071994039503,0.3097898971837282,-0.3765534647502133,0.236117612991055,0.6126710777412683,-0.5677478267471954,0.09579515501354907,0.8904600325866087,0.04358300776364563,0.20120241734161926,0.05280788177339901,0.28249670540313887,0.26991142009236924,0.6061952860967791,0.581403919813618,0.19627667756628325,12.274268247499073,0.0,0.7916821044831419,0.0,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,down,1,0.5,0.5,6711,434319,0.015451776228992976,0.009095961718336971,51065,6679390,0,0,4158,13422,42,0.7760382587443032,0.8205930561764267,0.26645985004327505,0.3097898971837282,-0.4273259746634672,0.23312465005292585,0.660450624716393,-0.6153342027536438,0.07005507412191189,0.9224856977558613,0.03523774684736989,0.20120241734161926,0.03843121797398502,0.26509343555342596,0.21421254470383178,0.6155956117378941,0.5811933186790044,0.18548042871367545,12.02660250590158,0.0016611295681063123,0.7785545669148357,0.0016611295681063123,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,down,1,0.6371,0.6371,8551,750000,0.011401333333333333,0.005828668814404415,32220,6731824,1,1,4158,13422,42,0.8024873721402204,0.8470421695723439,0.27361288217332963,0.3097898971837282,-0.5016505086780128,0.23305852374340932,0.734709032421422,-0.659937928989417,0.044519010407506554,0.9511038875379024,0.026632364126211096,0.20120241734161926,0.02073050345508391,0.2330980016752423,0.13553084139022709,0.6293906488122358,0.5825359009121661,0.17561737670754035,11.677632157621602,0.003896736483195324,0.7617204679391327,0.003896736483195324,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,down,2,0.0,0.0,0,0,,,356268,6769056,0,0,4158,13422,42,0.8513623535140842,0.8959171509462077,0.28700993739820324,0.3097898971837282,0.08723506953795679,0.3188695717586444,0.2316345022206876,0.09281489735988588,0.5235911226462407,0.4671170327863241,0.47820995409767336,0.20120241734161926,0.1005940594059406,0.10618729096989966,0.9664806480648065,0.639186140675376,0.6288944756689877,0.5568782161697932,11.728316008316009,1.6492483894058698,0.9212474012474012,0.7816750178954903,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,down,2,0.01,0.01,134,2964,0.04520917678812416,0.04520917678812416,322010,6733482,0,0,4158,13422,42,0.8436138808572521,0.8881686782893756,0.2854748972819092,0.3097898971837282,0.055103240465651904,0.3159521653955404,0.2608489249298885,0.0608329208768686,0.487802444261497,0.4966648356398701,0.39888123394411784,0.20120241734161926,0.10306021717670286,0.11714730166327629,0.9215684443342474,0.6298268575979333,0.6222868650704856,0.5231150642919636,11.75471856387887,1.1345769487008661,0.9135978525291503,0.6102598267821452,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,down,2,0.02,0.02,268,5993,0.04471883864508593,0.044239022779795314,299690,6710703,0,0,4158,13422,42,0.8360889218347517,0.8806437192668752,0.28405435914541793,0.3097898971837282,0.02500179455671986,0.31277401839367197,0.2877722238369521,0.028535959729317457,0.4574964986660076,0.5222010980352394,0.3449058487558538,0.20120241734161926,0.10460992907801418,0.12832494608195544,0.8764509788296541,0.6238338540216959,0.6171402998433654,0.49399723833812625,11.788578680203045,0.8220973782771536,0.90668358714044,0.4712858926342072,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,down,2,0.05,0.05,671,15968,0.04202154308617234,0.04040100250626567,244086,6656203,0,0,4158,13422,42,0.8144826038493547,0.8590374012814782,0.27975868130463205,0.3097898971837282,-0.05111901177195122,0.30258402844043125,0.35370304021238247,-0.06358532018301752,0.38044182012545635,0.5911327009786035,0.2319794996638534,0.20120241734161926,0.10512870898015327,0.16284651386055443,0.7457915073634342,0.6094952660720521,0.6065312676872047,0.4259314910269803,11.937814397224631,0.31553911205074,0.8902862098872506,0.226215644820296,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,down,2,0.1,0.1,1342,33698,0.03982432191821473,0.03784545967287084,186272,6609235,0,0,4158,13422,42,0.7871394359161107,0.8316942333482342,0.27427963550502193,0.3097898971837282,-0.1366057793700351,0.28679835675779247,0.42340413612782757,-0.18634032692206104,0.2956658738353245,0.6725055147838083,0.14331011720685383,0.20120241734161926,0.10231281850254802,0.20877403846153847,0.6078984727495349,0.5971382972863848,0.5953035946981164,0.3382118191917257,12.13974737973663,0.07304116865869854,0.8632088148347219,0.06374501992031872,99.0,0.06132756132756133,0.3693052978767266,0.0
